timestamp,frame_idx,fps,energy_ema,state,detected,conf,mean_kp_conf,visible_kpts,t_cam_ms,t_pose_ms,t_oracle_ms,t_draw_ms
1769405840.2547355,1,0.3022146896897906,,SCANNING,,,0.3704443573951721,7,61.124116491628584,3268.637399887666,0.0,2.5147999403998256
1769405840.352775,2,2.1368297224600097,,SCANNING,,,0.4117498993873596,9,56.24101116838025,3010.401335898787,0.0,2.36618394497782
1769405840.4012744,3,3.8060594517145008,0.0,SCANNING,,,0.4105657637119293,9,51.744506277421216,2772.6241890244187,42.248499928973615,2.269833229295909
1769405840.4442747,4,5.714227196648111,0.006755082309246064,SCANNING,,,0.4022396206855774,9,47.606473768236015,2553.5671499003024,41.70411593746394,2.1425265744850037
1769405840.4837978,5,7.46298759998287,0.007476911917328835,SCANNING,,,0.4132694900035858,9,43.798755863555506,2352.0267059013227,41.227930657379325,2.010764443028271
1769405840.5227864,6,9.21597987174746,0.007725180149078369,SCANNING,,,0.4056908190250397,9,40.29615139502622,2166.4593294336482,40.61115220812708,1.8897112926805377
1769405840.5612988,7,10.754681077311034,0.0100092133641243,SCANNING,,,0.4023370146751404,9,37.07360328282188,1995.795175086027,40.11538803108067,1.7955103947010846
1769405840.6032841,8,12.19243074791475,0.007161642246544362,SCANNING,,,0.3987007141113281,8,34.11044302234202,1838.7285290817624,39.620156988281295,1.7187095598503188
1769405840.638267,9,13.72948073317761,0.00920909986382723,SCANNING,,,0.40311992168426514,9,31.382991581779894,1694.0160307516544,38.95165642837288,1.6252607951893705
1769405840.6758945,10,14.995488904014316,0.009484783756649497,SCANNING,,,0.41446438431739807,9,28.87345625433068,1560.9424362936616,38.492675918643016,1.5429919319657042
1769405840.7178967,11,16.138922495334445,0.008638831047961714,SCANNING,,,0.4238213896751404,9,26.564875754539383,1438.6927773883222,38.10985384267071,1.452384575950399
1769405840.7509584,12,17.52204344997851,0.010120375942438604,SCANNING,,,0.41914793848991394,9,24.441125686514653,1325.8433632003869,37.41422553473193,1.3739618087485548
1769405840.7856517,13,18.68191121408941,0.008009421596675968,SCANNING,,,0.4189327359199524,9,22.4867476385379,1222.081446144536,36.865415496447696,1.3163088708570707
